Date,TIIE28,T
1980/01,99.49420721,1980/01
1980/02,99.51120072,1980/02
1980/03,99.52496499,1980/03
1980/04,99.52896148,1980/04
1980/05,99.51973863,1980/05
1980/06,99.49983858,1980/06
1980/07,99.4799697,1980/07
1980/08,99.47275232,1980/08
1980/09,99.48613387,1980/09
1980/10,99.52011476,1980/10
1980/11,99.56918943,1980/11
1980/12,99.62671047,1980/12
1981/01,99.67820726,1981/01
1981/02,99.71241256,1981/02
1981/03,99.72738465,1981/03
1981/04,99.72674534,1981/04
1981/05,99.71857898,1981/05
1981/06,99.71102039,1981/06
1981/07,99.70836264,1981/07
1981/08,99.70882656,1981/08
1981/09,99.70636787,1981/09
1981/10,99.69631816,1981/10
1981/11,99.6789884,1981/11
1981/12,99.66132941,1981/12
1982/01,99.65626928,1982/01
1982/02,99.67585843,1982/02
1982/03,99.72941275,1982/03
1982/04,99.82654376,1982/04
1982/05,99.96761122,1982/05
1982/06,100.1367052,1982/06
1982/07,100.3039291,1982/07
1982/08,100.4393666,1982/08
1982/09,100.5275171,1982/09
1982/10,100.5774699,1982/10
1982/11,100.6208666,1982/11
1982/12,100.6847376,1982/12
1983/01,100.7766113,1983/01
1983/02,100.8776527,1983/02
1983/03,100.9627034,1983/03
1983/04,101.0154771,1983/04
1983/05,101.029056,1983/05
1983/06,101.0024068,1983/06
1983/07,100.9388902,1983/07
1983/08,100.8447733,1983/08
1983/09,100.7279293,1983/09
1983/10,100.5948139,1983/10
1983/11,100.4494872,1983/11
1983/12,100.2926609,1983/12
1984/01,100.1239057,1984/01
1984/02,99.94445037,1984/02
1984/03,99.76016167,1984/03
1984/04,99.58328574,1984/04
1984/05,99.42530655,1984/05
1984/06,99.2891665,1984/06
1984/07,99.16784876,1984/07
1984/08,99.05119485,1984/08
1984/09,98.93219052,1984/09
1984/10,98.81242952,1984/10
1984/11,98.70347843,1984/11
1984/12,98.62109525,1984/12
1985/01,98.58041188,1985/01
1985/02,98.59134678,1985/02
1985/03,98.65442949,1985/03
1985/04,98.75742102,1985/04
1985/05,98.88352956,1985/05
1985/06,99.02039218,1985/06
1985/07,99.16126276,1985/07
1985/08,99.30027914,1985/08
1985/09,99.43390581,1985/09
1985/10,99.56205561,1985/10
1985/11,99.68835165,1985/11
1985/12,99.81679085,1985/12
1986/01,99.94726865,1986/01
1986/02,100.0781037,1986/02
1986/03,100.2118207,1986/03
1986/04,100.3540546,1986/04
1986/05,100.5108047,1986/05
1986/06,100.686245,1986/06
1986/07,100.8788073,1986/07
1986/08,101.0780977,1986/08
1986/09,101.2726609,1986/09
1986/10,101.4500921,1986/10
1986/11,101.5985806,1986/11
1986/12,101.7113172,1986/12
1987/01,101.7882284,1987/01
1987/02,101.8337698,1987/02
1987/03,101.8551709,1987/03
1987/04,101.8621952,1987/04
1987/05,101.8679086,1987/05
1987/06,101.8886729,1987/06
1987/07,101.9423261,1987/07
1987/08,102.0454142,1987/08
1987/09,102.2091236,1987/09
1987/10,102.4323286,1987/10
1987/11,102.6889832,1987/11
1987/12,102.9133023,1987/12
1988/01,102.9949418,1988/01
1988/02,102.8159823,1988/02
1988/03,102.3143501,1988/03
1988/04,101.5432787,1988/04
1988/05,100.6542104,1988/05
1988/06,99.81201163,1988/06
1988/07,99.15024748,1988/07
1988/08,98.73614702,1988/08
1988/09,98.57065955,1988/09
1988/10,98.61714572,1988/10
1988/11,98.82039061,1988/11
1988/12,99.11185337,1988/12
1989/01,99.41805483,1989/01
1989/02,99.68176584,1989/02
1989/03,99.88001515,1989/03
1989/04,100.0076116,1989/04
1989/05,100.059417,1989/05
1989/06,100.0259642,1989/06
1989/07,99.916209,1989/07
1989/08,99.79013733,1989/08
1989/09,99.73064492,1989/09
1989/10,99.78357452,1989/10
1989/11,99.93969832,1989/11
1989/12,100.1625808,1989/12
1990/01,100.4072574,1990/01
1990/02,100.6186167,1990/02
1990/03,100.7410458,1990/03
1990/04,100.7368739,1990/04
1990/05,100.6054824,1990/05
1990/06,100.3923514,1990/06
1990/07,100.1668216,1990/07
1990/08,99.9703896,1990/08
1990/09,99.81699534,1990/09
1990/10,99.69364,1990/10
1990/11,99.5774705,1990/11
1990/12,99.45767432,1990/12
1991/01,99.32655536,1991/01
1991/02,99.19153427,1991/02
1991/03,99.06330198,1991/03
1991/04,98.95186169,1991/04
1991/05,98.86102714,1991/05
1991/06,98.79260041,1991/06
1991/07,98.75121446,1991/07
1991/08,98.73337126,1991/08
1991/09,98.72254226,1991/09
1991/10,98.68841986,1991/10
1991/11,98.61500065,1991/11
1991/12,98.50113101,1991/12
1992/01,98.35715586,1992/01
1992/02,98.20759154,1992/02
1992/03,98.08738449,1992/03
1992/04,98.04178122,1992/04
1992/05,98.10403741,1992/05
1992/06,98.28281777,1992/06
1992/07,98.5572649,1992/07
1992/08,98.87860067,1992/08
1992/09,99.20003853,1992/09
1992/10,99.48679951,1992/10
1992/11,99.70796327,1992/11
1992/12,99.8496016,1992/12
1993/01,99.9000963,1993/01
1993/02,99.85893443,1993/02
1993/03,99.73546164,1993/03
1993/04,99.55234519,1993/04
1993/05,99.33126619,1993/05
1993/06,99.08606626,1993/06
1993/07,98.83171391,1993/07
1993/08,98.58123876,1993/08
1993/09,98.33654826,1993/09
1993/10,98.09682496,1993/10
1993/11,97.85953388,1993/11
1993/12,97.6229204,1993/12
1994/01,97.42752082,1994/01
1994/02,97.32560444,1994/02
1994/03,97.35509018,1994/03
1994/04,97.50858431,1994/04
1994/05,97.71670093,1994/05
1994/06,97.91294858,1994/06
1994/07,98.08742243,1994/07
1994/08,98.27467686,1994/08
1994/09,98.55366708,1994/09
1994/10,99.01849938,1994/10
1994/11,99.74701526,1994/11
1994/12,100.7479284,1994/12
1995/01,101.915961,1995/01
1995/02,103.0340584,1995/02
1995/03,103.8443672,1995/03
1995/04,104.1821058,1995/04
1995/05,104.0741624,1995/05
1995/06,103.6939966,1995/06
1995/07,103.2307658,1995/07
1995/08,102.8355678,1995/08
1995/09,102.5974225,1995/09
1995/10,102.5171523,1995/10
1995/11,102.5006182,1995/11
1995/12,102.4372768,1995/12
1996/01,102.2806869,1996/01
1996/02,102.0480435,1996/02
1996/03,101.7572218,1996/03
1996/04,101.4190621,1996/04
1996/05,101.085862,1996/05
1996/06,100.8125497,1996/06
1996/07,100.6058428,1996/07
1996/08,100.4421967,1996/08
1996/09,100.326364,1996/09
1996/10,100.2518119,1996/10
1996/11,100.1743334,1996/11
1996/12,100.0458936,1996/12
1997/01,99.86933489,1997/01
1997/02,99.67921139,1997/02
1997/03,99.49980901,1997/03
